timestamp,actual (kWh),forecast (kWh),abs error,robust z,detectors agreeing
2016-12-16 12:00:00,50.001,36.156,13.845,11.485,2
2016-11-21 19:00:00,51.04,40.06,10.98,8.909,2
2016-11-28 00:00:00,42.987,32.073,10.914,8.85,2
2016-12-03 16:00:00,45.153,35.248,9.904,7.942,2
2016-12-17 17:00:00,27.286,35.706,8.42,6.607,2
2016-12-14 08:00:00,37.77,29.81,7.96,6.194,2
2016-12-15 00:00:00,44.363,36.426,7.937,6.172,2
2016-11-28 12:00:00,38.019,30.313,7.706,5.965,2
2016-11-27 17:00:00,42.527,35.119,7.408,5.697,2
2016-12-17 20:00:00,24.613,31.953,7.339,5.636,2
2016-11-21 18:00:00,42.903,35.589,7.313,5.612,2
2016-11-10 21:00:00,39.39,32.089,7.302,5.601,2
