,Rank,MAE,MSE,RMSE,MAPE (%),sMAPE (%),R2,MASE,Accuracy (%),MAE (mean +/- std over seeds),Params
AT-CBGRU (proposed),1,1.5761,5.039,2.2448,5.163,5.186,0.8783,0.7376,94.837,1.6290 +/- 0.0288,"110,914"
BiLSTM,2,1.609,5.0892,2.2559,5.294,5.323,0.8771,0.753,94.706,1.6653 +/- 0.0141,"80,705"
GRU,3,1.6228,4.9728,2.23,5.41,5.415,0.8799,0.7594,94.59,1.6461 +/- 0.0229,"24,417"
Random Forest,4,1.6332,5.1302,2.265,5.422,5.37,0.8761,0.7643,94.578,-,-
LSTM,5,1.6631,5.1701,2.2738,5.561,5.552,0.8752,0.7783,94.439,1.7201 +/- 0.0392,"32,161"
CNN-LSTM,6,1.7091,5.3226,2.3071,5.741,5.75,0.8715,0.7998,94.259,1.8112 +/- 0.0219,"35,457"
XGBoost,7,1.759,5.554,2.3567,6.02,5.963,0.8659,0.8232,93.98,-,-
Ridge Regression,8,1.8005,5.5928,2.3649,6.15,6.096,0.865,0.8426,93.85,-,-
"ARIMA(2, 1, 2)",9,2.0541,7.3771,2.7161,7.064,6.988,0.8219,0.9613,92.936,-,-
Naive-1 (persistence),10,2.0842,8.0306,2.8338,7.064,7.024,0.8061,0.9754,92.936,-,-
SVR (RBF),11,2.6425,11.6918,3.4193,9.236,8.954,0.7177,1.2366,90.764,-,-
Seasonal Naive-24,12,2.9546,16.6199,4.0768,10.006,9.792,0.5987,1.3827,89.994,-,-
